seqnames	start	end	strand	RPKM	gene	tx_name
chr19	3594507	3606875	-	0.0718178904763899	ENSG00000006638.13	ENST00000375190.10
chr19	39704481	39709313	+	0	ENSG00000006659.13	ENST00000360675.7
chr7	74505992	74602591	+	0.582482123225738	ENSG00000006704.11	ENST00000476977.5
chr7	12570720	12660182	+	0.00191620339768555	ENSG00000006747.15	ENST00000297029.10
chrX	2903972	2929339	-	0.230990433607285	ENSG00000006756.16	ENST00000381154.6
chr17	10300865	10373130	-	0.000215654418860552	ENSG00000006788.14	ENST00000418404.8
chr2	157876702	158136154	+	0.00576640198573212	ENSG00000007001.13	ENST00000605860.5
chr16	2817180	2821719	+	0.00343270533774815	ENSG00000007038.11	ENST00000450020.7
chr19	41549518	41586843	+	0.00062628525290856	ENSG00000007129.18	ENST00000407170.6
chr17	27756766	27800529	-	0.000534154175808083	ENSG00000007171.18	ENST00000313735.11
chr17	9910606	10198606	-	0.0651786238592996	ENSG00000007237.19	ENST00000432992.7
chr19	3777973	3786381	-	0	ENSG00000007264.15	ENST00000310132.11
chr19	41673307	41688367	-	0	ENSG00000007306.15	ENST00000006724.7
chr17	63928740	63932336	-	0.0714884506118193	ENSG00000007312.13	ENST00000392795.7
chr17	63938554	63972918	-	0.0154189552141657	ENSG00000007314.12	ENST00000435607.3
chrX	154305057	154330350	+	0.00154033389671232	ENSG00000007350.17	ENST00000369912.2
chr16	569968	584109	+	0.268887969519438	ENSG00000007541.17	ENST00000321878.10
chrX	18425608	18640196	+	0.0797601816160468	ENSG00000008086.13	ENST00000674046.1
chr6	50818871	50847619	+	0	ENSG00000008196.13	ENST00000393655.4
chr6	50713526	50773033	+	0	ENSG00000008197.5	ENST00000008391.4
chr7	122073565	122144308	-	0.221505666708981	ENSG00000008311.16	ENST00000681708.1
chr19	12995475	13098796	+	0.514419742716275	ENSG00000008441.18	ENST00000592199.6
chr16	3065639	3068665	+	0.0167325957246363	ENSG00000008517.18	ENST00000532247.5
chr1	18630846	18748866	+	0.000297108862194841	ENSG00000009709.12	ENST00000420770.7
chr6	150369012	150405969	+	0.000421680887314698	ENSG00000009765.15	ENST00000344419.8
chr7	73593202	73624514	-	0.892625072192411	ENSG00000009950.16	ENST00000434326.5
chr19	45668221	45683684	+	0.189212787074267	ENSG00000010310.9	ENST00000652180.1
chr3	52433035	52445103	-	0.484876384011345	ENSG00000010319.7	ENST00000231721.7
chr12	220622	262836	-	0.0303641753806757	ENSG00000010379.16	ENST00000343164.9
chr12	6789528	6820799	+	0.0016196459215424	ENSG00000010610.10	ENST00000011653.9
chr6	26087429	26098343	+	0.683561234010907	ENSG00000010704.19	ENST00000357618.10
chr6	111660332	111873452	-	0.138316018339027	ENSG00000010810.17	ENST00000354650.7
chr17	62627670	62693597	+	0.428095760900453	ENSG00000011028.14	ENST00000303375.10
chr5	150190062	150211063	+	0.000371023765197996	ENSG00000011083.9	ENST00000230671.7
chrX	8528874	8732137	-	7.66711381915962e-05	ENSG00000011201.12	ENST00000262648.8
chr19	38211009	38224250	-	0.248913909708439	ENSG00000011332.20	ENST00000614244.4
chr12	91140484	91182817	-	0	ENSG00000011465.18	ENST00000052754.10
chr19	35904403	35908247	-	0.00709306733638728	ENSG00000011600.12	ENST00000585901.6
chr16	21158679	21180609	+	0.758580766227237	ENSG00000011638.11	ENST00000261388.7
chrX	152166234	152451315	-	8.1999997720182e-05	ENSG00000011677.13	ENST00000370314.9
chr19	35329187	35347361	+	0.126047806784394	ENSG00000012124.17	ENST00000085219.10
chr3	46435645	46464905	-	0	ENSG00000012223.13	ENST00000231751.9
chr12	100473708	100564413	+	0.000687252540443923	ENSG00000012504.15	ENST00000548884.5
chr10	45374216	45446117	+	0.0111082405838579	ENSG00000012779.11	ENST00000374391.7
chrY	19703865	19744726	-	0	ENSG00000012817.16	ENST00000317961.9
chr2	31234152	31269451	+	0.000441486748820867	ENSG00000013016.16	ENST00000322054.10
chr3	170459548	170586075	-	0.000123170225036171	ENSG00000013293.6	ENST00000231706.6
chr3	170418868	170434691	+	0.00787890911697503	ENSG00000013297.12	ENST00000064724.8
chrX	150363284	150514178	+	0.374339480134355	ENSG00000013619.14	ENST00000370401.6
chr11	60971680	61020377	+	0.000320023044752898	ENSG00000013725.14	ENST00000313421.11
chr3	132317407	132358841	+	0.0028208909557216	ENSG00000014257.16	ENST00000336375.10
chrX	48683799	48691427	+	0.0127674680768913	ENSG00000015285.11	ENST00000376701.5
chr16	89613673	89638398	+	0.0056725851371184	ENSG00000015413.9	ENST00000564281.5
chr7	44512535	44541315	-	0.0178690078072836	ENSG00000015520.15	ENST00000289547.8
chr2	109794305	109857705	+	0	ENSG00000015568.13	ENST00000016946.8
chr8	27235323	27258386	-	0.00202711787634972	ENSG00000015592.16	ENST00000350889.8
chr5	51383448	51394730	+	0.17299976954094	ENSG00000016082.15	ENST00000230658.12
chr6	136999971	137045180	-	0.0306794717710798	ENSG00000016402.13	ENST00000367748.4
chr1	86468368	86500259	+	0	ENSG00000016490.16	ENST00000234701.7
chr1	86547078	86580754	+	0	ENSG00000016602.9	ENST00000370563.3
chr12	40692439	41072415	+	0.0140576437139349	ENSG00000018236.15	ENST00000551295.7
chr2	218382029	218396027	+	0.00278314205182095	ENSG00000018280.17	ENST00000468221.5
chr2	132304806	132322666	+	0	ENSG00000018607.7	ENST00000675302.1
chr1	160115759	160143591	+	0.00251967700392321	ENSG00000018625.15	ENST00000361216.8
chr11	124748106	124752193	-	0.0562307027745365	ENSG00000019102.12	ENST00000403470.1
chr2	118942194	118994660	+	0.000148516993856868	ENSG00000019169.11	ENST00000327097.5
chr11	45240302	45286341	-	0.0448510837515726	ENSG00000019505.8	ENST00000020926.8
chr8	48917868	48921440	-	0.0970486229198516	ENSG00000019549.13	ENST00000649776.1
chr7	81699010	81770047	-	0	ENSG00000019991.18	ENST00000222390.11
chr7	152445477	152447150	+	0.00465486327161787	ENSG00000020219.9	ENST00000465400.1
chr7	99828116	99866001	+	0.000822704019077053	ENSG00000021461.17	ENST00000481362.5
chr19	32830515	32869736	-	0.0145029218682945	ENSG00000021488.13	ENST00000590465.5
chr14	78170373	79868291	+	0.000105553648721659	ENSG00000021645.20	ENST00000335750.7
chrX	136169296	136211349	+	0.162685777820239	ENSG00000022267.19	ENST00000543669.5
chr5	161847663	161898086	+	0	ENSG00000022355.18	ENST00000635916.2
chr8	141207166	141228570	-	0.531678026205245	ENSG00000022567.10	ENST00000519067.5
chr1	150153483	150159628	+	0.379722781394102	ENSG00000023902.14	ENST00000607609.2
chr1	160750423	160754821	+	0.0407414288892546	ENSG00000026751.17	ENST00000484221.1
chr1	12166991	12209220	+	0.00258326724209416	ENSG00000028137.19	ENST00000376259.7
chr8	41653225	41896762	-	0.0103027110330775	ENSG00000029534.21	ENST00000265709.13
chr4	87799554	87812435	+	0.00120978747348056	ENSG00000029559.7	ENST00000226284.7
chr9	110668791	110806558	+	0.000226242410913661	ENSG00000030304.14	ENST00000374448.9
chr2	212999691	213151609	-	0.0267744644377023	ENSG00000030419.16	ENST00000457361.5
chr3	119294383	119420714	+	0.117131573002811	ENSG00000031081.11	ENST00000264245.9
chr15	28885974	29118315	+	0.00375623436601687	ENSG00000034053.14	ENST00000558402.5
chr8	48714915	48735311	-	0	ENSG00000034239.11	ENST00000433756.1
chr1	171635417	171652688	-	0.0027068924675851	ENSG00000034971.17	ENST00000037502.11
chr15	63916147	64046322	-	0.117114673555807	ENSG00000035664.11	ENST00000612884.4
chr4	67558727	67607337	+	0	ENSG00000035720.8	ENST00000265404.7
chr14	99684304	99713437	+	0.0449336345027678	ENSG00000036530.9	ENST00000554611.5
chr8	20144856	20183206	-	0	ENSG00000036565.15	ENST00000440926.3
chr11	119355215	119381690	-	0.132882492226347	ENSG00000036672.16	ENST00000260187.7
chr3	122183668	122291629	+	0	ENSG00000036828.17	ENST00000639785.2
chr5	180601506	180649600	-	0.000972106179439232	ENSG00000037280.16	ENST00000261937.11
chr4	165873237	166104457	+	0.00586387029856183	ENSG00000038295.8	ENST00000061240.7
chr8	16107881	16192651	-	0	ENSG00000038945.15	ENST00000262101.10
chr5	13690328	13944688	-	0.00920568976991299	ENSG00000039139.10	ENST00000265104.5
chr5	41142116	41213532	-	0	ENSG00000039537.14	ENST00000337836.10
chr5	157625679	157652438	-	0.00611498742341011	ENSG00000039600.11	ENST00000265007.11
chr19	12751702	12758406	+	0.00929723026599649	ENSG00000039987.7	ENST00000549706.5
chr22	20241417	20243684	-	0.570331580851084	ENSG00000040608.14	ENST00000425986.1
chr5	24487100	24644978	-	0	ENSG00000040731.10	ENST00000264463.8
chr18	54828477	54895516	+	0.18725090153617	ENSG00000041353.10	ENST00000262094.10
chr9	115019575	115118157	-	0.00276648549023757	ENSG00000041982.16	ENST00000350763.9
chr2	227610091	227633320	-	0	ENSG00000042304.13	ENST00000409066.1
chr7	49937441	50093246	-	0.000550137044039199	ENSG00000042813.8	ENST00000046087.7
chr8	132866958	133134899	+	0.00158495921079753	ENSG00000042832.12	ENST00000220616.9
chr8	24294069	24359014	+	0.000119980308513046	ENSG00000042980.13	ENST00000265769.9
chr11	129436174	129438321	+	0.00362767277313236	ENSG00000043039.7	ENST00000605151.1
chr13	99981784	99986765	+	0.777347216979946	ENSG00000043355.12	ENST00000376335.8
chr5	170246233	170297777	-	0.000151173559349856	ENSG00000043462.13	ENST00000046794.10
chr10	114043866	114046904	+	0.152562799092779	ENSG00000043591.6	ENST00000369295.4
chr1	42153410	42155820	+	0	ENSG00000044012.4	ENST00000372581.2
chrX	18892298	18984114	-	0.431761293454935	ENSG00000044446.12	ENST00000379942.5
chr9	17135040	17503923	+	0.202799283354025	ENSG00000044459.15	ENST00000380647.8
chr3	89107621	89482134	+	0	ENSG00000044524.11	ENST00000336596.7
chrX	142202342	142205290	-	0	ENSG00000046774.10	ENST00000247452.4
chr8	67952046	68237032	+	0.000218739552798922	ENSG00000046889.19	ENST00000288368.5
chr15	52581321	52678759	-	0.164179343102465	ENSG00000047346.12	ENST00000534964.6
chr3	149172497	149221829	-	0.000789759503444784	ENSG00000047457.14	ENST00000264613.11
chrX	17743869	17754985	+	0.296843942872852	ENSG00000047634.15	ENST00000487842.1
chrX	10015254	10144474	+	0.314412867741411	ENSG00000047644.19	ENST00000380861.9
chr7	18495749	19002416	+	0.041370539690471	ENSG00000048052.23	ENST00000441542.7
chr6	42178100	42181338	+	0	ENSG00000048545.17	ENST00000679182.1
chr10	11165030	11336675	+	0	ENSG00000048740.18	ENST00000417956.6
chr1	40300668	40317388	-	0.0475335562407875	ENSG00000049089.15	ENST00000482722.5
chr5	65148738	65481920	-	0.0402027188649697	ENSG00000049192.15	ENST00000381055.8
chr1	7784429	7845176	+	0.35133582041564	ENSG00000049246.14	ENST00000613533.4
chr1	7843083	7853512	-	0.0489349753732583	ENSG00000049247.14	ENST00000377516.6
chr1	7915894	7943165	-	0.0824311221092907	ENSG00000049249.9	ENST00000615230.4
chr2	32946953	33399509	+	0.021057923942641	ENSG00000049323.16	ENST00000404816.7
chr7	74027789	74069899	+	0.00074016205900485	ENSG00000049540.18	ENST00000621115.4
chrX	74732856	74925472	-	0.000283182106547284	ENSG00000050030.16	ENST00000642681.2
chr9	131009174	131094473	+	0.176307448478411	ENSG00000050555.19	ENST00000361069.9
chr1	71006631	71047808	-	0.00435236159317672	ENSG00000050628.20	ENST00000370924.4
chr4	121131408	121164321	-	0.000946981967149336	ENSG00000050730.16	ENST00000057513.8
chr5	178237618	178590393	-	0.000883534153875355	ENSG00000050767.18	ENST00000390654.8
chr11	6211345	6234711	-	1.10095793412704	ENSG00000051009.11	ENST00000265978.8
chr5	175960219	175968280	-	0	ENSG00000051596.10	ENST00000513482.1
chr5	133196455	133612541	-	0.00254693079060295	ENSG00000053108.17	ENST00000265342.12
chr18	23689453	23955066	+	0.0274004879373334	ENSG00000053747.17	ENST00000313654.14
chr9	137048107	137054061	-	0.130852075846991	ENSG00000054179.12	ENST00000355097.7
chr2	219289625	219308197	-	0.000839093427737932	ENSG00000054356.14	ENST00000462351.5
chr20	51596514	51768390	-	0.241142971425293	ENSG00000054793.14	ENST00000338821.6
chr20	57329803	57343993	+	0	ENSG00000054796.13	ENST00000371263.8
chr20	55997357	56005519	-	0	ENSG00000054803.4	ENST00000064571.3
chr11	74700922	74731153	-	0.000257748118440338	ENSG00000054938.16	ENST00000534159.5
chr14	87933014	87993182	-	0.000129505910297467	ENSG00000054983.17	ENST00000261304.7
chr7	150944961	150978321	-	0.101487628224606	ENSG00000055118.16	ENST00000262186.10
chr2	56183990	56386172	+	0.00269783749458749	ENSG00000055813.6	ENST00000407595.3
chr3	52777599	52792062	+	0.00107746696856863	ENSG00000055957.11	ENST00000273283.7
chr4	72031804	72148067	+	0	ENSG00000056291.18	ENST00000308744.11
chr22	44881162	45010005	-	0.000120956212422593	ENSG00000056487.16	ENST00000313237.10
chr9	120902393	120926796	-	0.185993298249096	ENSG00000056558.11	ENST00000373887.8
chrX	2828822	2882818	+	0	ENSG00000056998.20	ENST00000381163.7
chr18	63655197	63661893	-	0	ENSG00000057149.16	ENST00000283752.10
chr1	75796882	75913242	+	0.256580571141458	ENSG00000057468.7	ENST00000263187.4
chr13	113105807	113120681	+	0.000261924071149187	ENSG00000057593.14	ENST00000375581.3
chr12	94567122	94650557	-	0.17977928172042	ENSG00000057704.13	ENST00000261226.9
chr15	78959906	79090780	-	0.0181000290313142	ENSG00000058335.16	ENST00000558480.7
chr7	44217154	44325594	-	0.00326949189706216	ENSG00000058404.20	ENST00000395749.7
chr1	234391313	234479179	-	0.397429394020948	ENSG00000059588.10	ENST00000040877.2
chr12	7919231	7936167	-	0.42602676235776	ENSG00000059804.16	ENST00000486749.5
chr6	50857255	50857662	-	0.639804111296712	ENSG00000060303.5	ENST00000498293.1
chr19	3136033	3163749	+	0.0127916791431006	ENSG00000060558.4	ENST00000262958.4
chr19	4153631	4173054	+	0.0188547844153805	ENSG00000060566.14	ENST00000078445.7
chr1	29236522	29326800	+	0.360744710809809	ENSG00000060656.20	ENST00000373779.8
chr12	130396137	130517865	-	0.000256052086739834	ENSG00000060709.15	ENST00000261655.8
chr1	102876467	103108496	-	0.000268663228606243	ENSG00000060718.22	ENST00000358392.6
chr12	24810024	24949101	-	0.000896445576345741	ENSG00000060982.15	ENST00000261192.12
chr8	20246165	20303963	-	0.182675940987087	ENSG00000061337.15	ENST00000381569.5
chr5	123089241	123194266	+	0.0550515387483359	ENSG00000061455.11	ENST00000407847.5
chr5	138084033	138091541	+	0.00103772021796355	ENSG00000061492.12	ENST00000506684.6
chr20	35615829	35621094	+	0.102841009800577	ENSG00000061656.11	ENST00000374273.8
chr4	155758996	155807774	+	0	ENSG00000061918.14	ENST00000652626.1
chrX	3041471	3112727	+	0	ENSG00000062096.15	ENST00000381127.6
chr11	75792159	75801527	+	0.141805647389834	ENSG00000062282.15	ENST00000603363.5
chr20	46366050	46375771	-	0.732977216746704	ENSG00000062598.18	ENST00000467800.5
chr19	49289765	49325185	-	0.103394972610697	ENSG00000063127.16	ENST00000454748.7
chr22	19146993	19150292	-	0	ENSG00000063515.3	ENST00000086933.3
chr4	41538157	41700044	+	0.15751698121147	ENSG00000064042.18	ENST00000503057.6
chr17	49990005	49995224	-	0.00298553299489974	ENSG00000064195.7	ENST00000434704.2
chr11	2302009	2318200	+	0.00144372056262753	ENSG00000064201.16	ENST00000461200.5
chr20	44723657	44728509	+	0	ENSG00000064205.11	ENST00000471629.1
chr9	976655	991732	+	0.00051679540500652	ENSG00000064218.5	ENST00000190165.3
chr11	125955796	126063292	-	0.241674947980305	ENSG00000064309.15	ENST00000392693.7
chr20	46894624	47188844	+	0.000264843132090786	ENSG00000064655.19	ENST00000611592.4
chr5	122312207	122464082	+	0.00908126812435033	ENSG00000064692.20	ENST00000261367.11
chr20	53936777	54028700	-	0.00216159162433697	ENSG00000064787.13	ENST00000448484.5
chr3	87259404	87276584	-	0	ENSG00000064835.11	ENST00000350375.7
chr16	2026902	2039026	+	0.424154980372312	ENSG00000065054.14	ENST00000424542.7
chr17	9021510	9244000	+	0.161472273793059	ENSG00000065320.9	ENST00000173229.7
chr17	9825924	9892099	+	0.000942002069232146	ENSG00000065325.13	ENST00000262441.10
chr3	123978675	123992158	-	0.000577887949917555	ENSG00000065371.17	ENST00000479867.1
chr2	196986675	197310646	-	0.154222741595587	ENSG00000065413.20	ENST00000647377.1
chr6	83552880	83709691	-	0.000149074837066455	ENSG00000065609.14	ENST00000521485.5
chr10	6427148	6580276	-	0.0285220379281769	ENSG00000065675.15	ENST00000263125.10
chr2	79185231	80648779	+	0	ENSG00000066032.19	ENST00000466387.5
chr1	43300982	43323108	+	0.0028172788418451	ENSG00000066056.14	ENST00000372476.8
chr1	160541098	160579496	-	0	ENSG00000066294.15	ENST00000368054.8
chr11	47354860	47378547	-	0.000986859310624153	ENSG00000066336.12	ENST00000378538.8
chr11	30384493	30586281	-	3.86157873654575e-05	ENSG00000066382.17	ENST00000448418.6
chr3	137998735	138033655	+	0	ENSG00000066405.13	ENST00000343735.8
chr10	121478332	121598444	-	0.522335045757045	ENSG00000066468.23	ENST00000358487.10
chr14	99792648	99942014	+	0.10751912364508	ENSG00000066629.18	ENST00000649352.1
chr14	104139040	104180894	+	0.257476274384899	ENSG00000066735.14	ENST00000315264.7
chr16	20536226	20576367	-	0	ENSG00000066813.14	ENST00000329697.10
chr7	100177563	100214380	+	0.0124868875518662	ENSG00000066923.18	ENST00000426455.5
chrY	12904868	12920478	+	0.00149745201140638	ENSG00000067048.17	ENST00000336079.8
chr15	73051710	73305205	+	0.296755356062853	ENSG00000067141.17	ENST00000339362.9
chrX	72578814	72714306	-	0.384369993308778	ENSG00000067177.15	ENST00000373542.9
chr17	39173801	39193883	-	0.588016800893349	ENSG00000067191.16	ENST00000539338.6
chrX	54920824	54931431	+	0	ENSG00000067445.21	ENST00000173898.12
chrY	2935381	2982506	+	0.00016534908790664	ENSG00000067646.12	ENST00000155093.8
chr16	4796969	4802162	-	0.550587695384022	ENSG00000067836.13	ENST00000591292.5
chrX	153802168	153830548	-	0.00274558370624302	ENSG00000067840.12	ENST00000393758.6
chrX	153517676	153582939	+	0.000119395702327291	ENSG00000067842.17	ENST00000370186.5
chrX	24465286	24550466	+	0.20701613795407	ENSG00000067992.16	ENST00000568479.2
chr4	1793293	1808867	+	0.183111412437106	ENSG00000068078.20	ENST00000440486.8
chr2	86213993	86337626	-	0.141400366770389	ENSG00000068615.19	ENST00000538924.7
chr2	48569020	48679603	+	0.01437474849711	ENSG00000068781.21	ENST00000394754.5
chr11	64726911	64743789	-	0.0990245701480918	ENSG00000068831.19	ENST00000377494.5
chr11	64746398	64759974	-	0.0866633577830106	ENSG00000068976.14	ENST00000164139.4
chrX	49687447	49695984	-	0	ENSG00000068985.5	ENST00000376150.4
chr5	136212745	136365545	-	5.09960086431915e-05	ENSG00000069018.19	ENST00000513104.6
chr5	66596361	67169595	+	0.00406444144877721	ENSG00000069020.18	ENST00000403625.6
chr6	46852522	46921938	-	0.000336757902964186	ENSG00000069122.19	ENST00000283296.12
chr17	73334384	73644445	-	0.000678543356330619	ENSG00000069188.17	ENST00000392650.8
chr8	24441026	24509565	+	0	ENSG00000069206.15	ENST00000175238.10
chr12	21797389	21941426	-	0	ENSG00000069431.12	ENST00000261200.9
chr11	637269	640706	+	0.347908380282622	ENSG00000069696.7	ENST00000176183.6
chr1	91680343	91862046	-	0.478373891915743	ENSG00000069702.11	ENST00000533089.5
chr16	14672548	14694308	-	0.00680357434019934	ENSG00000069764.10	ENST00000438167.8
chr1	6415232	6419919	-	0.552670685004023	ENSG00000069812.11	ENST00000377834.8
chr11	626309	627181	-	0.00446291014701507	ENSG00000070031.4	ENST00000176195.4
chr4	99816833	99870154	+	0.0014613557474754	ENSG00000070190.13	ENST00000296414.11
chr5	44300247	44389420	-	8.73824334075886e-05	ENSG00000070193.5	ENST00000264664.5
chr22	19179473	19291719	-	0.288511533323444	ENSG00000070371.16	ENST00000427926.6
chr19	639879	641590	+	0.0455154270834597	ENSG00000070388.11	ENST00000591390.1
chr17	76624761	76643786	-	0.000819115012791791	ENSG00000070526.15	ENST00000592042.5
chr16	57882340	57971128	-	0.00114089734670903	ENSG00000070729.14	ENST00000251102.13
chr10	49614037	49667942	+	0	ENSG00000070748.19	ENST00000337653.7
chr5	150219491	150290291	-	0.00088046678625311	ENSG00000070808.16	ENST00000348628.10
chr1	22563489	22603595	+	0.00408001255268294	ENSG00000070886.12	ENST00000166244.8
chr16	56865207	56915850	+	0.00123090452834505	ENSG00000070915.10	ENST00000438926.6
chr11	2404515	2423045	-	0.00294348323440819	ENSG00000070985.13	ENST00000155858.10
chr11	60492778	60507430	+	0.000531784693693326	ENSG00000071203.9	ENST00000016913.8
chr3	8501823	8574668	+	0.114670434575541	ENSG00000071282.12	ENST00000157600.8
chr2	12716889	12742734	+	0.441377427641867	ENSG00000071575.11	ENST00000155926.8
chr2	237566574	237567175	+	0	ENSG00000071677.1	ENST00000165524.1
chr2	170178147	170655167	+	0.000441050834555679	ENSG00000071909.19	ENST00000408978.9
chr18	66501083	66604090	-	7.56469508842838e-05	ENSG00000071991.9	ENST00000262150.7
chr12	84859505	84912770	-	0	ENSG00000072041.18	ENST00000681418.1
chr2	234050702	234077134	+	0	ENSG00000072080.11	ENST00000168148.8
chrX	84058350	84188199	-	0	ENSG00000072133.11	ENST00000262752.5
chr2	127638425	127656085	-	0.110964760820288	ENSG00000072163.20	ENST00000469300.6
chrX	111768011	112082776	-	0	ENSG00000072315.4	ENST00000262839.3
chr10	60869438	60944185	-	0.0308570579887052	ENSG00000072422.17	ENST00000337910.10
chr1	161663192	161678053	+	0	ENSG00000072694.21	ENST00000480308.5
chr3	113532555	113629575	+	0.00192755987673307	ENSG00000072858.11	ENST00000264852.9
chr7	983358	989640	+	0.0012402102684527	ENSG00000073067.14	ENST00000340150.10
chr22	50090006	50161687	+	0.00108705687853133	ENSG00000073146.16	ENST00000262794.10
chr22	50170731	50180295	+	0.0985740904463445	ENSG00000073150.14	ENST00000395842.3
chr3	189631389	189897276	+	0.00178769522550091	ENSG00000073282.14	ENST00000264731.8
chrX	10156975	10237660	+	0.15258831723431	ENSG00000073464.13	ENST00000380833.9
chr17	44758988	44781846	+	0.454226400454402	ENSG00000073670.14	ENST00000200557.11
chr2	168920781	169031324	-	7.0489950758868e-05	ENSG00000073734.10	ENST00000650372.1
chr2	169064789	169096167	+	0.0248326623432497	ENSG00000073737.17	ENST00000602501.5
chr1	157830911	157841808	-	0	ENSG00000073754.6	ENST00000368174.5
chr1	186671791	186680922	-	0.0494907999088832	ENSG00000073756.13	ENST00000680451.1
chr3	187071974	187078551	+	0.284894191025165	ENSG00000073849.16	ENST00000470633.1
chr17	47733236	47746122	+	0.00786056758880639	ENSG00000073861.3	ENST00000177694.2
chr13	31846713	32299105	+	0.0121949426949916	ENSG00000073910.23	ENST00000645780.1
chr19	15159038	15200995	-	0.100471958723685	ENSG00000074181.9	ENST00000263388.7
chr19	49340600	49360438	-	0.326198712002099	ENSG00000074219.14	ENST00000377214.8
chr5	176620210	176630556	-	0.000753091825329884	ENSG00000074317.11	ENST00000614675.4
chr17	3923870	3964464	-	0.188879548191188	ENSG00000074370.18	ENST00000309890.11
chr15	63321378	63381846	-	0.126672725160076	ENSG00000074410.14	ENST00000178638.8
chr12	95657807	95790764	-	0.0285415050153222	ENSG00000074527.13	ENST00000343702.9
chr18	58862600	58986480	+	0.371053110221457	ENSG00000074657.14	ENST00000336078.8
chr17	1633858	1645732	-	0.0833359681532139	ENSG00000074660.16	ENST00000263071.9
chr6	155395368	155455839	-	0.000386571030395306	ENSG00000074771.4	ENST00000159060.3
chr15	48224326	48304078	+	9.77046771493023e-05	ENSG00000074803.20	ENST00000560692.5
chr1	17539698	17697869	+	0.323420472214164	ENSG00000074964.17	ENST00000361221.8
